Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-icu.json	98810	-	0	0	0	0	0	0	18	81	0	0	0	0	0	0	0	2	0	0	47	224	1285	0	0	0	13	0	1
beispiele/mii-exa-icu-bilanz-abnahme-haemofiltration-einzelmesswerte.json	1464	3	0	0	1	0	0	0	0	1513	0	0	0	0	0	0	0	0	0	0	22	10	16	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-drainage-generisch.json	1370	1	0	0	0	0	0	0	0	776	0	0	0	0	0	0	0	0	0	0	15	12	40	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-fluessigkeit-gesamt.json	1410	1	0	0	0	0	0	0	0	807	0	0	0	0	0	0	0	0	0	0	9	6	47	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-gallenfluessigkeit.json	1437	1	0	0	0	0	0	0	1	801	0	0	0	0	0	0	0	0	0	0	5	8	15	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-magensonde.json	1446	1	0	0	0	0	0	0	0	771	0	0	0	0	0	0	0	0	0	0	5	9	35	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-opdrainage.json	1373	1	0	0	0	0	0	0	0	766	0	0	0	0	0	0	0	0	0	0	4	6	45	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-pankreasdrainage.json	1311	1	0	0	0	0	0	0	0	808	0	0	0	0	0	0	0	0	0	0	4	6	96	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-stuhlgang.json	1400	1	0	0	0	0	0	0	0	802	0	0	0	0	0	0	0	0	0	0	5	6	11	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-urin.json	1392	1	0	0	0	0	0	0	0	802	0	0	0	0	0	0	0	0	0	0	4	21	9	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-wunddrainage.json	1420	1	0	0	0	0	0	0	0	807	0	0	0	0	0	0	0	0	0	0	4	4	9	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-blutverlust.json	1389	1	0	0	1	0	0	0	0	761	0	0	0	0	0	0	0	0	0	0	4	6	10	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-einfuhr-abgepumpte-muttermilch.json	1243	1	0	0	0	0	1	0	1	807	0	0	0	0	0	0	0	0	0	0	4	7	96	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-einfuhr-enterale-fluessigkeit.json	1440	1	0	0	0	0	0	0	0	810	0	0	0	0	0	0	0	0	0	0	4	6	11	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-einfuhr-fluessigkeit-gesamt.json	1298	1	0	0	0	0	0	0	0	751	0	0	0	0	0	0	0	0	0	0	4	6	8	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-einfuhr-muttermilch.json	1222	0	0	0	0	0	0	0	0	782	0	0	0	0	0	0	0	0	0	0	4	5	74	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-einfuhr-oraler-fluessigkeit.json	1425	1	0	0	0	0	0	0	0	802	0	0	0	0	0	0	0	0	0	0	4	6	11	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-einfuhr-saeuglingsnahrung.json	1217	1	0	0	0	0	0	0	0	820	0	0	0	0	0	0	0	0	0	0	4	7	8	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-einfuhr-spendermilch.json	1206	1	0	0	0	0	0	0	0	809	0	0	0	0	0	0	0	0	0	0	4	6	9	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-tagesbilanz-fluessigkeit.json	1513	1	0	0	0	0	0	0	1	786	0	0	0	0	0	0	0	0	0	0	4	7	9	0	0	0	0	0	0
beispiele/mii-exa-icu-ecmo.json	1114	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	4	24	0	0	0	0	0	0
beispiele/mii-exa-icu-ect-arterieller-druck-gemessen.json	1547	1	0	0	0	0	0	0	0	835	0	0	0	0	0	0	0	0	0	0	4	5	25	0	0	0	0	0	0
beispiele/mii-exa-icu-ect-blutfluss-durch-cardiovasculaer-geraet-eingestel.json	1543	1	0	0	0	0	0	0	0	800	0	0	0	0	0	0	0	0	0	0	4	7	46	0	0	0	0	0	0
beispiele/mii-exa-icu-ect-blutfluss-durch-cardiovasculaer-geraet-gemessen.json	1398	1	0	0	0	0	0	0	0	801	0	0	0	0	0	0	0	0	0	0	4	6	156	0	0	0	0	0	0
beispiele/mii-exa-icu-ect-blutfluss-extrakorporal-gasaustausch-eingestellt.json	1395	1	0	0	0	0	0	0	0	788	0	0	0	0	0	0	0	0	0	0	4	5	18	0	0	0	0	0	0
beispiele/mii-exa-icu-ect-blutfluss-extrakorporaler-gasaustausch-gemessen.json	1391	1	0	0	0	0	0	0	0	833	0	0	0	0	0	0	0	0	0	0	5	5	125	0	0	0	0	0	0
beispiele/mii-exa-icu-ect-blutflussind-extrakorporal-gasaustausch-eingeste.json	1411	1	0	0	0	0	0	0	0	813	0	0	0	0	0	0	0	0	0	0	4	5	16	0	0	0	0	0	0
