Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-icu.json	98810	-	0	0	0	0	0	0	23	84	0	0	0	0	0	0	0	3	0	0	47	609	1206	0	0	0	14	0	9
beispiele/mii-exa-icu-bilanz-abnahme-haemofiltration-einzelmesswerte.json	1407	4	0	0	1	0	0	0	0	1730	0	0	0	0	0	0	0	0	0	0	17	13	28	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-drainage-generisch.json	1384	1	0	0	0	0	0	0	0	961	0	0	0	0	0	0	0	0	0	0	10	12	17	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-fluessigkeit-gesamt.json	1374	2	0	0	0	0	0	0	0	951	0	0	0	0	0	0	0	0	0	0	10	13	18	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-gallenfluessigkeit.json	1378	2	0	0	0	0	0	0	0	948	0	0	0	0	0	0	0	0	0	0	9	13	17	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-magensonde.json	1353	1	0	0	0	0	0	0	0	931	0	0	0	0	0	0	0	0	0	0	9	13	16	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-opdrainage.json	1367	2	0	0	0	0	0	0	0	958	0	0	0	0	0	0	0	0	0	0	9	11	18	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-pankreasdrainage.json	1305	1	0	0	0	0	0	0	0	960	0	0	0	0	0	0	0	0	0	0	9	10	15	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-stuhlgang.json	1350	2	0	0	0	0	0	0	0	939	0	0	0	0	0	0	0	0	0	0	8	12	18	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-urin.json	1351	1	0	0	0	0	0	0	1	956	0	0	0	0	0	0	0	0	0	0	8	13	23	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-ausfuhr-wunddrainage.json	1367	2	0	0	1	0	0	0	0	954	0	0	0	0	0	0	0	0	0	0	8	13	20	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-blutverlust.json	1352	2	0	0	0	0	0	0	0	949	0	0	0	0	0	0	0	0	0	0	8	11	21	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-einfuhr-abgepumpte-muttermilch.json	1237	1	0	0	0	0	0	0	0	931	0	0	0	0	0	0	0	0	0	0	8	11	23	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-einfuhr-enterale-fluessigkeit.json	1377	1	0	0	0	0	0	0	0	959	0	0	0	0	0	0	0	0	0	0	9	11	29	0	0	0	0	0	1
beispiele/mii-exa-icu-bilanz-einfuhr-fluessigkeit-gesamt.json	1297	2	0	0	0	0	0	0	0	964	0	0	0	0	0	0	0	0	0	0	8	11	25	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-einfuhr-muttermilch.json	1216	1	0	0	0	0	0	0	0	944	0	0	0	0	0	0	0	0	0	0	9	13	18	0	0	0	0	0	0
beispiele/mii-exa-icu-bilanz-einfuhr-oraler-fluessigkeit.json	1370	1	0	0	0	0	0	0	0	949	0	0	0	0	0	0	0	0	0	0	9	11	15	0	0	0	0	0	0
